M903~!~A1164_Shifted-to-M903_14-Oct-2010
M904~!~A1165_Shifted-to-M904_14-Oct-2010
M905~!~A1166_Shifted-to-M905_14-Oct-2010
M906~!~A1191_Shifted-to-M906_14-Oct-2010
M907~!~A1192_Shifted-to-M907_14-Oct-2010
M908~!~A1193_Shifted-to-M908_14-Oct-2010
M909~!~A1594_Shifted-to-M909_22-Oct-2010
M910~!~A1595_Shifted-to-M910_22-Oct-2010
M911~!~A1596_Shifted-to-M911_22-Oct-2010
M912~!~A1601_Shifted-to-M912_22-Oct-2010
M913~!~A1602_Shifted-to-M913_22-Oct-2010
M914~!~A1603_Shifted-to-M914_22-Oct-2010
M915~!~A1644_Shifted-to-M915_22-Oct-2010
M916~!~A1645_Shifted-to-M916_22-Oct-2010
M917~!~A1646_Shifted-to-M917_22-Oct-2010
M918~!~A1647_Shifted-to-M918_22-Oct-2010
M919~!~A1656_Shifted-to-M919_22-Oct-2010
M920~!~A1657_Shifted-to-M920_22-Oct-2010
M921~!~A1658_Shifted-to-M921_22-Oct-2010
M922~!~A1659_Shifted-to-M922_22-Oct-2010
AC175~!~AA005_Shifted-to-AC175_29-Jul-2010
AC176~!~AA006_Shifted-to-AC176_29-Jul-2010
E597~!~AB030_Shifted-to-E597_30-Jul-2010
C268~!~AB067_Shifted-to-C268_01-Aug-2010
T214~!~AH142_Shifted-to-T214_16-Aug-2010
Z1190~!~AH160_Shifted-to-Z1190_16-Aug-2010
Q492~!~AH163_Shifted-to-Q492_16-Aug-2010
AY129~!~AH191_Shifted-to-AY129_16-Aug-2010
AY130~!~AH192_Shifted-to-AY130_17-Aug-2010
AB092~!~AL005_Shifted-to-AB092_25-Aug-2010
AB093~!~AL007_Shifted-to-AB093_25-Aug-2010
R089~!~AL028_Shifted-to-R089_25-Aug-2010
AH193~!~E456_Shifted-to-AH193_27-Jul-2010
AZ058~!~M389_Shifted-to-AZ058_08-Sep-2010
P168~!~M540_Shifted-to-P168_11-Sep-2010
P169~!~M541_Shifted-to-P169_11-Sep-2010
P170~!~M542_Shifted-to-P170_11-Sep-2010
P171~!~M543_Shifted-to-P171_11-Sep-2010
P172~!~M544_Shifted-to-P172_11-Sep-2010
P173~!~M545_Shifted-to-P173_11-Sep-2010
P174~!~M546_Shifted-to-P174_11-Sep-2010
P175~!~M547_Shifted-to-P175_11-Sep-2010
P176~!~M548_Shifted-to-P176_11-Sep-2010
P177~!~M549_Shifted-to-P177_11-Sep-2010
P178~!~M550_Shifted-to-P178_11-Sep-2010
P179~!~M551_Shifted-to-P179_11-Sep-2010
P180~!~M552_Shifted-to-P180_11-Sep-2010
P181~!~M553_Shifted-to-P181_11-Sep-2010
P182~!~M554_Shifted-to-P182_11-Sep-2010
P183~!~M555_Shifted-to-P183_11-Sep-2010
P184~!~M556_Shifted-to-P184_11-Sep-2010
P185~!~M557_Shifted-to-P185_11-Sep-2010
P186~!~M558_Shifted-to-P186_11-Sep-2010
P187~!~M559_Shifted-to-P187_11-Sep-2010
P188~!~M560_Shifted-to-P188_11-Sep-2010
AB097~!~M588_Shifted-to-AB097_13-Sep-2010
AB094~!~M589_Shifted-to-AB094_11-Sep-2010
AB095~!~M590_Shifted-to-AB095_11-Sep-2010
AB096~!~M591_Shifted-to-AB096_11-Sep-2010
Q493~!~M613_Shifted-to-Q493_11-Sept-2010
Q494~!~M614_Shifted-to-Q494_11-Sept-2010
P189~!~M710_Shifted-to-P189_16-Sep-2010
P190~!~M711_Shifted-to-P190_16-Sep-2010
P191~!~M712_Shifted-to-P191_16-Sep-2010
P192~!~M713_Shifted-to-P192_16-Sep-2010
P193~!~M714_Shifted-to-P193_16-Sep-2010
P194~!~M715_Shifted-to-P194_16-Sep-2010
P195~!~M716_Shifted-to-P195_16-Sep-2010
P196~!~M717_Shifted-to-P196_16-Sep-2010
P197~!~M724_Shifted-to-P197_16-Sep-2010
P198~!~M725_Shifted-to-P198_16-Sep-2010
P199~!~M726_Shifted-to-P199_16-Sep-2010
P200~!~M727_Shifted-to-P200_16-Sep-2010
P201~!~M728_Shifted-to-P201_16-Sep-2010
P202~!~M729_Shifted-to-P202_16-Sep-2010
AZ059~!~M831_Shifted-to-AZ059_17-Sep-2010
AZ060~!~M832_Shifted-to-AZ060_17-Sep-2010
M294~!~N050_Shifted-to-M294_01-Nov-2010
M295~!~N051_Shifted-to-M295_01-Nov-2010
M296~!~N052_Shifted-to-M296_01-Nov-2010
M297~!~N053_Shifted-to-M297_01-Nov-2010
M298~!~N054_Shifted-to-M298_01-Nov-2010
U088~!~N0817_Shifted-to-U088_08-Dec-2010
K123~!~N0845_Shifted-to-K123_10-Dec-2010
K124~!~N0846_Shifted-to-K124_10-Dec-2010
K125~!~N0847_Shifted-to-K125_10-Dec-2010
K126~!~N0848_Shifted-to-K126_10-Dec-2010
K127~!~N0849_Shifted-to-K127_10-Dec-2010
K128~!~N0850_Shifted-to-K128_10-Dec-2010
A1857~!~N0999_Shifted-to-A1857_03-Dec-2010
R020~!~N099_Shifted-to-R020_02-Nov-2010
A1858~!~N1000_Shifted-to-A1858_03-Dec-2010
A1859~!~N1001_Shifted-to-A1859_03-Dec-2010
R021~!~N100_Shifted-to-R021_02-Nov-2010
M299~!~N221_Shifted-to-M299_02-Nov-2010
M300~!~N222_Shifted-to-M300_02-Nov-2010
M301~!~N223_Shifted-to-M301_02-Nov-2010
M302~!~N224_Shifted-to-M302_02-Nov-2010
M923~!~N342_Shifted-to-M923_27-Nov-2010
M924~!~N343_Shifted-to-M924_27-Nov-2010
M925~!~N344_Shifted-to-M925_27-Nov-2010
M926~!~N345_Shifted-to-M926_27-Nov-2010
X027a~!~N440_Shifted-to-X027a_29-Nov-2010
Q118~!~N481_Shifted-to-Q118_29-Nov-2010
Q119~!~N482_Shifted-to-Q119_29-Nov-2010
K114~!~N605_Shifted-to-K114_03-Dec-2010
K115~!~N606_Shifted-to-K115_03-Dec-2010
K116~!~N607_Shifted-to-K116_03-Dec-2010
K117~!~N608_Shifted-to-K117_03-Dec-2010
K118~!~N609_Shifted-to-K118_03-Dec-2010
